reach_id,region,old_facc,new_facc,width,old_fwr,new_fwr,reduction,lakeflag
62241200261,SA,4704207.5,5040,84.0,56002.47023809524,60.0,933.374503968254,0
74300400565,NA,2954437.75,5040,63.0,46895.8373015873,80.0,586.1979662698412,0
82211000885,NA,1773707.5,3360,42.0,42231.130952380954,80.0,527.8891369047619,3
43430700393,AS,1682380.125,2940,42.0,40056.669642857145,70.0,572.238137755102,0
62241200253,SA,4704207.5,7380,123.0,38245.58943089431,60.0,637.4264905149051,1
31223000871,AS,2265887.75,4410,63.0,35966.47222222222,70.0,513.806746031746,0
28315000763,EU,1293994.625,3737,37.373592376708984,34623.23375171208,99.99038792773042,346.2656208188386,0
34217900611,AS,2200731.8183962265,4690,67.0,32846.74355815264,70.0,469.2391936878948,0
74300400575,NA,2954264.75,7200,90.0,32825.16388888889,80.0,410.3145486111111,0
31210900091,AS,2443509.7491909387,5250,75.0,32580.129989212517,70.0,465.43042841732165,0
12210000171,AF,1357210.625,2100,42.0,32314.53869047619,50.0,646.2907738095238,0
28315000751,EU,1293994.625,4045,40.4516716003418,31988.65643389299,99.99586766065364,319.89978368356,0
31210300695,AS,2497920.0,5600,80.0,31224.0,70.0,446.0571428571429,3
42211000495,AS,1865556.5,4690,67.0,27844.126865671642,70.0,397.77324093816634,0
31241900551,AS,860021.4375,2224,31.777061462402344,27064.221734836978,69.98759160381678,386.70028664568343,0
31223000991,AS,2264858.75,5880,84.0,26962.604166666668,70.0,385.1800595238095,0
64241000141,SA,1131908.25,2520,42.0,26950.196428571428,60.0,449.1699404761905,0
34217700981,AS,2253116.0,5880,84.0,26822.809523809523,70.0,383.1829931972789,0
64231000641,SA,2230450.75,5040,84.0,26552.98511904762,60.0,442.549751984127,0
82213000305,NA,1773584.0,5360,67.0,26471.402985074626,80.0,330.89253731343285,3
45241100375,AS,940133.0625,2508,35.83857727050781,26232.43259362452,69.98045656415822,374.8536931818182,0
12231000241,AF,1175040.5,2250,45.0,26112.01111111111,50.0,522.2402222222222,0
28315000774,EU,1293994.625,5076,50.762386322021484,25491.209510744487,99.99529903498558,254.92407899921199,1
14210000755,AF,2021987.25,4200,84.0,24071.276785714286,50.0,481.42553571428573,3
28311300495,EU,1405329.625,6300,63.0,22306.819444444445,100.0,223.06819444444446,3
42213500381,AS,1778591.8004587155,5600,80.0,22232.397505733945,70.0,317.60567865334207,0
34251100141,AS,925824.375,2940,42.0,22043.4375,70.0,314.90625,0
31251000411,AS,1185735.875,3780,54.0,21958.07175925926,70.0,313.68673941798943,0
82211000805,NA,1774434.25,6560,82.0,21639.442073170732,80.0,270.49302591463413,3
