reach_id,region,original_facc,corrected_facc,delta,delta_pct,n_rch_up,correction_type
43508100025,AS,60789.6445,65110.373,4320.7285,7.11,2,junction_floor
43484000333,AS,24660.4098,39431.0781,14770.6683,59.9,2,junction_floor
43494204263,AS,27570.7201,54854.8769,27284.1568,98.96,2,junction_floor
44581100715,AS,76435.5595,141354.1166,64918.5571,84.93,2,junction_floor
45241200811,AS,507.4699,734.7115,227.2416,44.78,2,junction_floor
45311902065,AS,203.5043,245.0893,41.585,20.43,2,junction_floor
48238100551,AS,452213.3652,470062.8186,17849.4534,3.95,2,junction_floor
31241300231,AS,999116.875,1998228.375,999111.5,100.0,2,junction_floor
31241300431,AS,998297.5975,1014295.6404,15998.0429,1.6,2,junction_floor
31247100201,AS,598200.125,1196305.4385,598105.3135,99.98,2,junction_floor
31365000821,AS,63004.3316,125967.8828,62963.5512,99.94,2,junction_floor
34230500261,AS,169112.8747,1723528.5765,1554415.7018,919.16,2,junction_floor
35141500761,AS,64051.0796,64186.8012,135.7216,0.21,2,junction_floor
35141500791,AS,10098.8096,10165.1135,66.304,0.66,2,junction_floor
43670800935,AS,16264.1472,28009.0724,11744.9252,72.21,2,junction_floor
45220201151,AS,1339.3118,1614.3416,275.0298,20.54,2,junction_floor
45311901955,AS,787.7125,1133.6741,345.9616,43.92,2,junction_floor
34230500181,AS,1677048.75,3126634.1055,1449585.3555,86.44,2,junction_floor
43421001561,AS,33755.5035,34026.2982,270.7947,0.8,2,junction_floor
43650000855,AS,38068.0312,71216.8594,33148.8281,87.08,2,junction_floor
45242400021,AS,14169.1203,14450.5475,281.4272,1.99,2,junction_floor
45270000131,AS,299350.8438,301242.0634,1891.2196,0.63,2,junction_floor
42230000131,AS,1433779.0945,1434836.8691,1057.7747,0.07,2,junction_floor
45248200071,AS,41190.1122,75331.1094,34140.9971,82.89,2,junction_floor
43499500751,AS,127919.659,129709.4248,1789.7658,1.4,2,junction_floor
48270200801,AS,1011.9829,1253.5998,241.6169,23.88,2,junction_floor
46180700021,AS,20927.4697,23238.5934,2311.1237,11.04,2,junction_floor
46180900091,AS,5007.0663,5770.7141,763.6478,15.25,2,junction_floor
49160100371,AS,2266.2261,4241.2822,1975.0562,87.15,2,junction_floor
45404100193,AS,131020.1703,131216.7403,196.57,0.15,2,junction_floor
44570004435,AS,54.6264,63.838,9.2116,16.86,2,junction_floor
31241401251,AS,78098.3315,103287.3477,25189.0162,32.25,2,junction_floor
32100501095,AS,2221.3741,2685.3269,463.9528,20.89,2,junction_floor
34219600021,AS,572557.7901,4350582.5,3778024.7099,659.85,2,junction_floor
35139001215,AS,325532.6403,327324.1001,1791.4598,0.55,2,junction_floor
31233000491,AS,75977.6846,76447.4281,469.7435,0.62,2,junction_floor
31243700181,AS,739272.4375,1478427.5,739155.0625,99.98,2,junction_floor
32100500905,AS,2538547.75,2880594.3691,342046.6191,13.47,2,junction_floor
35131000945,AS,633.7305,714.3456,80.6151,12.72,2,junction_floor
35127000321,AS,4612.4204,4978.0998,365.6794,7.93,2,junction_floor
33122001721,AS,1068.8877,10568.5258,9499.6381,888.74,2,junction_floor
33122001751,AS,275.9595,687.4426,411.4831,149.11,2,junction_floor
35149600091,AS,9273.5,12837.2471,3563.7471,38.43,2,junction_floor
31248200401,AS,33314.0391,66579.093,33265.054,99.85,2,junction_floor
33122001741,AS,820.0868,1096.0463,275.9595,33.65,2,junction_floor
31222000061,AS,12305.0107,22169.5786,9864.5679,80.17,2,junction_floor
32100500191,AS,2499280.5759,2515066.0069,15785.431,0.63,2,junction_floor
33164200521,AS,677.8625,746.6553,68.7927,10.15,2,junction_floor
35301300281,AS,1801.8553,2247.2875,445.4322,24.72,2,junction_floor
42440600261,AS,2117.6297,2389.6685,272.0388,12.85,2,junction_floor
42217000341,AS,242558.1596,243371.5387,813.3791,0.34,2,junction_floor
43487000351,AS,81097.3688,81604.987,507.6182,0.63,2,junction_floor
44570002545,AS,55924.7491,55960.9356,36.1865,0.06,2,junction_floor
42450000604,AS,2298.7618,2547.5995,248.8377,10.82,2,junction_floor
43663600101,AS,16189.4462,16983.4978,794.0516,4.9,2,junction_floor
31247500121,AS,481075.8438,542983.5444,61907.7006,12.87,2,junction_floor
32100400971,AS,2747.5908,2784.0997,36.5089,1.33,2,junction_floor
43485000073,AS,128035.3417,211585.2786,83549.9369,65.26,2,junction_floor
31221001091,AS,699698.7387,699838.1469,139.4082,0.02,2,junction_floor
31241300371,AS,131929.0825,519247.0028,387317.9204,293.58,2,junction_floor
31241700481,AS,924270.0,1843485.75,919215.75,99.45,2,junction_floor
33122002741,AS,275.9595,1096.0463,820.0868,297.18,2,junction_floor
34219700011,AS,2175291.25,4329024.75,2153733.5,99.01,2,junction_floor
34230500241,AS,211391.0934,279590.7447,68199.6513,32.26,2,junction_floor
35131000915,AS,124.4558,199.0484,74.5926,59.94,2,junction_floor
35139001325,AS,1458.0241,1611.0381,153.014,10.49,2,junction_floor
43429100151,AS,4942.26,40593.543,35651.283,721.36,2,junction_floor
31210400701,AS,19990.3457,40184.7803,20194.4346,101.02,2,junction_floor
31241100461,AS,1025550.125,1047380.8768,21830.7518,2.13,2,junction_floor
31247500181,AS,62327.9312,963462.5312,901134.6001,1445.8,2,junction_floor
34100006345,AS,458.5532,891.102,432.5489,94.33,2,junction_floor
34211700311,AS,313019.0918,4989398.0662,4676378.9744,1493.96,3,junction_floor
35121200345,AS,423.9134,2277.345,1853.4316,437.22,2,junction_floor
35131000985,AS,509.2748,3363.6784,2854.4036,560.48,2,junction_floor
35414701101,AS,18631.8523,25739.7304,7107.8781,38.15,3,junction_floor
31241401161,AS,151622.1634,152701.9746,1079.8112,0.71,2,junction_floor
31241401271,AS,68949.3321,137898.6642,68949.3321,100.0,2,junction_floor
31241900461,AS,3392.074,6598.9321,3206.8582,94.54,2,junction_floor
31341000085,AS,101951.5625,203803.6542,101852.0917,99.9,2,junction_floor
43120300631,AS,33209.6119,40157.9038,6948.2919,20.92,2,junction_floor
31221000981,AS,2089.1367,2244.9042,155.7675,7.46,2,junction_floor
31241100511,AS,1025635.4375,1068178.7651,42543.3276,4.15,2,junction_floor
31247100111,AS,597636.3733,637947.1284,40310.7551,6.75,2,junction_floor
35141500781,AS,63994.8885,73868.934,9874.0455,15.43,2,junction_floor
45100100815,AS,102.5433,124.6681,22.1249,21.58,2,junction_floor
43482700101,AS,29738.5041,29934.3993,195.8952,0.66,2,junction_floor
35132000131,AS,14973.8671,15714.4592,740.5921,4.95,2,junction_floor
31295000411,AS,277789.439,394837.1726,117047.7336,42.14,2,junction_floor
31248500111,AS,160700.562,164041.0813,3340.5193,2.08,2,junction_floor
31248500361,AS,21553.5657,25908.6738,4355.1081,20.21,2,junction_floor
33125000101,AS,102664.5729,102864.2729,199.7,0.19,2,junction_floor
33200300111,AS,474.6493,678.416,203.7667,42.93,2,junction_floor
31297500201,AS,4128.759,4330.6735,201.9145,4.89,2,junction_floor
44220700111,AS,1250.3474,2225.6284,975.281,78.0,2,junction_floor
43210700051,AS,890987.7458,894212.7579,3225.0121,0.36,2,junction_floor
44230000171,AS,653569.4375,665190.0089,11620.5714,1.78,2,junction_floor
