reach_id,region,original_facc,corrected_facc,delta,delta_pct,correction_type
51150100245,OC,1655.1429,1656.6021,1.4591,0.09,single_upstream
57109100215,OC,46.3743,46.4476,0.0734,0.16,single_upstream
52160600151,OC,1742.0885,1745.2178,3.1292,0.18,single_upstream
53130100825,OC,18.7007,117.9421,99.2413,530.68,single_upstream
51501600473,OC,919.8385,920.3624,0.5239,0.06,single_upstream
51111300301,OC,711.2593,711.8046,0.5452,0.08,single_upstream
56827000071,OC,93106.4794,93115.7891,9.3096,0.01,single_upstream
53159303015,OC,752.9453,756.8221,3.8768,0.51,single_upstream
52402200113,OC,720.6632,723.7928,3.1297,0.43,single_upstream
56350000363,OC,2123.6904,2128.7839,5.0936,0.24,single_upstream
53600301095,OC,700.3592,701.7291,1.3699,0.2,single_upstream
53159900635,OC,93.6449,93.7898,0.1448,0.15,single_upstream
56299200045,OC,5026.8478,5028.6035,1.7557,0.03,single_upstream
56862000031,OC,69383.2029,69384.2266,1.0236,0.0,single_upstream
53159303035,OC,65.2112,65.346,0.1348,0.21,single_upstream
53159301513,OC,203.9054,205.2903,1.3849,0.68,single_upstream
56391400141,OC,2346.6889,2348.9009,2.2119,0.09,single_upstream
52406000181,OC,36.3328,36.5593,0.2266,0.62,single_upstream
51180200731,OC,3381.3552,3382.2585,0.9033,0.03,single_upstream
56293000161,OC,590.8503,591.9705,1.1201,0.19,single_upstream
57109100175,OC,120.8756,121.3079,0.4323,0.36,single_upstream
52150800193,OC,39.0691,39.5343,0.4652,1.19,single_upstream
53130300555,OC,124.9892,125.3372,0.348,0.28,single_upstream
51150200055,OC,3205.0963,3208.1016,3.0053,0.09,single_upstream
56257900101,OC,45.9535,649.8903,603.9368,1314.23,single_upstream
56299500295,OC,6934.3216,6934.397,0.0754,0.0,single_upstream
56299500315,OC,148.8785,148.9193,0.0408,0.03,single_upstream
52175700165,OC,14.757,14.7987,0.0417,0.28,single_upstream
53140400843,OC,318.1349,319.3302,1.1954,0.38,single_upstream
53110600351,OC,930.4973,930.9132,0.416,0.04,single_upstream
52405000451,OC,212.1375,212.571,0.4336,0.2,single_upstream
52150900685,OC,860.8151,861.8917,1.0767,0.13,single_upstream
57109100235,OC,30.3223,30.5892,0.2669,0.88,single_upstream
53159701515,OC,1478.6323,1479.5935,0.9612,0.07,single_upstream
56322000121,OC,74113.2688,74139.5469,26.278,0.04,single_upstream
52179900155,OC,53.2604,177.9174,124.657,234.05,single_upstream
53190700425,OC,798.9522,799.4003,0.4481,0.06,single_upstream
56310000521,OC,751.0383,751.8984,0.8602,0.11,single_upstream
56370600101,OC,2951.0909,2952.3782,1.2872,0.04,single_upstream
52175700345,OC,24.0048,24.0214,0.0165,0.07,single_upstream
56865000161,OC,3042.2138,7680.7367,4638.5228,152.47,single_upstream
52406001141,OC,251.2532,252.0367,0.7834,0.31,single_upstream
52409300311,OC,191.2563,191.7936,0.5373,0.28,single_upstream
56873000371,OC,1700.2807,7896.1613,6195.8806,364.4,single_upstream
52409900611,OC,372.2732,373.1248,0.8516,0.23,single_upstream
56259100361,OC,482.8783,483.5982,0.72,0.15,single_upstream
51170000285,OC,58.8462,58.8929,0.0467,0.08,single_upstream
56900100733,OC,146.7449,756.6525,609.9076,415.62,single_upstream
56310000715,OC,550.3012,551.8278,1.5266,0.28,single_upstream
56251000235,OC,236.713,237.106,0.393,0.17,single_upstream
52190400175,OC,4210.2717,4212.6523,2.3806,0.06,single_upstream
51150100235,OC,1571.0975,1656.6021,85.5045,5.44,single_upstream
